sample_date_utc,year_month,year,month,taxon_name,taxon_group,taxon_per_m3,plankton_type
2019-08-03T16:17:46Z,2019/8,2019,8,Paracalanus indicus f,COPEPOD,1.3333,zooplankton
2019-08-03T16:17:46Z,2019/8,2019,8,Paracalanus aculeatus f,COPEPOD,4,zooplankton
2019-08-03T16:17:46Z,2019/8,2019,8,Oncaea venusta typica f,COPEPOD,0.6667,zooplankton
2019-08-03T16:17:46Z,2019/8,2019,8,Oncaea clevei complex f,COPEPOD,0.6667,zooplankton
2019-08-03T16:17:46Z,2019/8,2019,8,Oithona spp. j,COPEPOD,13.3333,zooplankton
2019-08-03T16:17:46Z,2019/8,2019,8,Oithona spp.,COPEPOD,0.6667,zooplankton
2019-08-03T16:17:46Z,2019/8,2019,8,Oithona simplex f,COPEPOD,1.3333,zooplankton
2019-08-03T16:17:46Z,2019/8,2019,8,Oithona plumifera f,COPEPOD,56,zooplankton
2019-08-03T16:17:46Z,2019/8,2019,8,Oithona atlantica f,COPEPOD,0.6667,zooplankton
2019-08-03T16:17:46Z,2019/8,2019,8,Oithona Grp3 (pointy head) f,COPEPOD,6,zooplankton
2019-08-03T16:17:46Z,2019/8,2019,8,Nauplii poecilostomatoida / cyclopoid,COPEPOD,0.6667,zooplankton
2019-08-03T16:17:46Z,2019/8,2019,8,Farranula spp. m,COPEPOD,0.6667,zooplankton
2019-08-03T16:17:46Z,2019/8,2019,8,Euchaeta spp. j,COPEPOD,7.3333,zooplankton
2019-08-03T16:17:46Z,2019/8,2019,8,Euchaeta concinna m,COPEPOD,0.6667,zooplankton
2019-08-03T16:17:46Z,2019/8,2019,8,Euchaeta concinna f,COPEPOD,0.6667,zooplankton
2019-08-03T16:17:46Z,2019/8,2019,8,Ditrichocorycaeus spp. m,COPEPOD,0.6667,zooplankton
2019-08-03T16:17:46Z,2019/8,2019,8,Corycaeidae,COPEPOD,0.6667,zooplankton
2019-08-03T16:17:46Z,2019/8,2019,8,Clausocalanus arcuicornis f,COPEPOD,5.3333,zooplankton
2019-08-03T16:17:46Z,2019/8,2019,8,Canthocalanus pauper m,COPEPOD,1.3333,zooplankton
2019-08-03T16:17:46Z,2019/8,2019,8,Canthocalanus pauper f,COPEPOD,2,zooplankton
2019-08-03T16:17:46Z,2019/8,2019,8,Canthocalanus pauper CV,COPEPOD,0.6667,zooplankton
2019-08-03T16:17:46Z,2019/8,2019,8,Candacia spp. j,COPEPOD,1.3333,zooplankton
2019-08-03T16:17:46Z,2019/8,2019,8,Candacia discaudata m,COPEPOD,0.6667,zooplankton
2019-08-03T16:17:46Z,2019/8,2019,8,Candacia bradyi m,COPEPOD,0.6667,zooplankton
2019-08-03T16:17:46Z,2019/8,2019,8,Calocalanus spp. f,COPEPOD,0.6667,zooplankton
2019-08-03T16:17:46Z,2019/8,2019,8,Calanoid j,COPEPOD,4.6667,zooplankton
2019-08-03T18:05:38Z,2019/8,2019,8,Clausocalanus arcuicornis f,COPEPOD,7.3333,zooplankton
2019-08-03T18:05:38Z,2019/8,2019,8,Amphipod,NON-COPEPOD,0.6667,zooplankton
2019-08-03T18:05:38Z,2019/8,2019,8,Undinula vulgaris f,COPEPOD,0.6667,zooplankton
2019-08-03T18:05:38Z,2019/8,2019,8,Subeucalanus pileatus f,COPEPOD,2.6667,zooplankton
2019-08-03T18:05:38Z,2019/8,2019,8,Paracalanus spp. j,COPEPOD,1.3333,zooplankton
2019-08-03T18:05:38Z,2019/8,2019,8,Paracalanus indicus f,COPEPOD,1.3333,zooplankton
2019-08-03T18:05:38Z,2019/8,2019,8,Paracalanus aculeatus m,COPEPOD,1.3333,zooplankton
2019-08-03T18:05:38Z,2019/8,2019,8,Paracalanus aculeatus f,COPEPOD,4.6667,zooplankton
2019-08-03T18:05:38Z,2019/8,2019,8,Oncaea venusta typica f,COPEPOD,0.6667,zooplankton
2019-08-03T18:05:38Z,2019/8,2019,8,Oithona spp. j,COPEPOD,8,zooplankton
2019-08-03T18:05:38Z,2019/8,2019,8,Oithona spp.,COPEPOD,0.6667,zooplankton
2019-08-03T18:05:38Z,2019/8,2019,8,Oithona simplex f,COPEPOD,1.3333,zooplankton
2019-08-03T18:05:38Z,2019/8,2019,8,Oithona plumifera f,COPEPOD,44,zooplankton
2019-08-03T18:05:38Z,2019/8,2019,8,Oithona Grp3 (pointy head) f,COPEPOD,5.3333,zooplankton
2019-08-03T18:05:38Z,2019/8,2019,8,Nauplii poecilostomatoida / cyclopoid,COPEPOD,0.6667,zooplankton
2019-08-03T18:05:38Z,2019/8,2019,8,Acartia pacifica f,COPEPOD,0.6667,zooplankton
2019-08-03T18:05:38Z,2019/8,2019,8,Acartia spp. j,COPEPOD,0.6667,zooplankton
2019-08-03T18:05:38Z,2019/8,2019,8,Acrocalanus spp. f,COPEPOD,2,zooplankton
2019-08-03T18:05:38Z,2019/8,2019,8,Calanoid j,COPEPOD,10,zooplankton
2019-08-03T18:05:38Z,2019/8,2019,8,Candacia bradyi f,COPEPOD,1.3333,zooplankton
2019-08-03T18:05:38Z,2019/8,2019,8,Candacia bradyi m,COPEPOD,0.6667,zooplankton
2019-08-03T18:05:38Z,2019/8,2019,8,Canthocalanus pauper f,COPEPOD,2,zooplankton
2019-08-03T18:05:38Z,2019/8,2019,8,Canthocalanus pauper m,COPEPOD,0.6667,zooplankton
2019-08-03T18:05:38Z,2019/8,2019,8,Centropages furcatus j,COPEPOD,1.3333,zooplankton
2019-08-03T18:05:38Z,2019/8,2019,8,Euchaeta spp. j,COPEPOD,18,zooplankton
2019-08-03T18:05:38Z,2019/8,2019,8,Euchaeta concinna f,COPEPOD,2,zooplankton
2019-08-03T18:05:38Z,2019/8,2019,8,Hyperiid amphipod,NON-COPEPOD,2.6667,zooplankton
2019-08-03T18:05:38Z,2019/8,2019,8,Centropages furcatus m,COPEPOD,0.6667,zooplankton
2019-08-03T18:05:38Z,2019/8,2019,8,Barnacle nauplii,NON-COPEPOD,1.3333,zooplankton
2019-08-03T18:05:38Z,2019/8,2019,8,Clausocalanus furcatus f,COPEPOD,0.6667,zooplankton
2019-08-03T18:05:38Z,2019/8,2019,8,Ditrichocorycaeus asiaticus m,COPEPOD,0.6667,zooplankton
2019-08-03T18:05:38Z,2019/8,2019,8,Ditrichocorycaeus asiaticus f,COPEPOD,2,zooplankton
2019-08-03T18:05:38Z,2019/8,2019,8,Clausocalanus spp. m,COPEPOD,0.6667,zooplankton
2019-08-03T18:05:38Z,2019/8,2019,8,Egg,NON-COPEPOD,1.3333,zooplankton
2019-08-03T18:05:38Z,2019/8,2019,8,Subeucalanus spp. j,COPEPOD,0.6667,zooplankton
2019-08-03T18:05:38Z,2019/8,2019,8,Doliolum spp.,NON-COPEPOD,0.6667,zooplankton
2019-08-03T18:05:38Z,2019/8,2019,8,Decapod larvae,NON-COPEPOD,4.6667,zooplankton
2019-08-03T18:05:38Z,2019/8,2019,8,Chaetognatha,NON-COPEPOD,10.6667,zooplankton
2019-08-03T18:05:38Z,2019/8,2019,8,Bryozoan (Cyphonaute larvae),NON-COPEPOD,0.6667,zooplankton
2019-08-03T18:05:38Z,2019/8,2019,8,Brachyuran zoea,NON-COPEPOD,2,zooplankton
2019-08-03T18:05:38Z,2019/8,2019,8,Bivalve,NON-COPEPOD,2,zooplankton
2019-08-03T18:05:38Z,2019/8,2019,8,Mysid,NON-COPEPOD,0.6667,zooplankton
2019-08-03T18:05:38Z,2019/8,2019,8,Oikopleuridae,NON-COPEPOD,4.6667,zooplankton
2019-08-03T18:05:38Z,2019/8,2019,8,Facetotecta nauplii,NON-COPEPOD,0.6667,zooplankton
2019-08-03T18:05:38Z,2019/8,2019,8,Euconchoecia aculeata,NON-COPEPOD,1.3333,zooplankton
2019-08-03T18:05:38Z,2019/8,2019,8,Farranula spp. f,COPEPOD,1.3333,zooplankton
2019-08-03T18:05:38Z,2019/8,2019,8,Ditrichocorycaeus dahli f,COPEPOD,1.3333,zooplankton
2019-08-03T18:05:38Z,2019/8,2019,8,Ostracod,NON-COPEPOD,2,zooplankton
2019-08-03T18:05:38Z,2019/8,2019,8,Prosobranch,NON-COPEPOD,0.6667,zooplankton
2019-08-03T18:05:38Z,2019/8,2019,8,Siphonophore,NON-COPEPOD,2,zooplankton
2019-08-03T19:53:29Z,2019/8,2019,8,Euchaeta spp. j,COPEPOD,4.6667,zooplankton
2019-08-03T19:53:29Z,2019/8,2019,8,Euchaeta concinna m,COPEPOD,0.6667,zooplankton
2019-08-03T19:53:29Z,2019/8,2019,8,Eucalanidae j,COPEPOD,2.6667,zooplankton
2019-08-03T19:53:29Z,2019/8,2019,8,Ditrichocorycaeus spp. m,COPEPOD,0.6667,zooplankton
2019-08-03T19:53:29Z,2019/8,2019,8,Acartia spp. j,COPEPOD,0.6667,zooplankton
2019-08-03T19:53:29Z,2019/8,2019,8,Acrocalanus spp. f,COPEPOD,1.3333,zooplankton
2019-08-03T19:53:29Z,2019/8,2019,8,Calanid CV,COPEPOD,1.3333,zooplankton
2019-08-03T19:53:29Z,2019/8,2019,8,Calanidae,COPEPOD,1.3333,zooplankton
2019-08-03T19:53:29Z,2019/8,2019,8,Clausocalanus spp. f,COPEPOD,0.6667,zooplankton
2019-08-03T19:53:29Z,2019/8,2019,8,Limacina,NON-COPEPOD,1.3333,zooplankton
2019-08-03T19:53:29Z,2019/8,2019,8,Prosobranch,NON-COPEPOD,2.6667,zooplankton
2019-08-03T19:53:29Z,2019/8,2019,8,Canthocalanus pauper f,COPEPOD,0.6667,zooplankton
2019-08-03T19:53:29Z,2019/8,2019,8,Farranula gibbula f,COPEPOD,0.6667,zooplankton
2019-08-03T19:53:29Z,2019/8,2019,8,Clausocalanus arcuicornis f,COPEPOD,4,zooplankton
2019-08-03T19:53:29Z,2019/8,2019,8,Calanoid j,COPEPOD,5.3333,zooplankton
2019-08-03T19:53:29Z,2019/8,2019,8,Canthocalanus pauper m,COPEPOD,0.6667,zooplankton
2019-08-03T19:53:29Z,2019/8,2019,8,Candacia spp. j,COPEPOD,0.6667,zooplankton
2019-08-03T19:53:29Z,2019/8,2019,8,Nauplii copepod,COPEPOD,0.6667,zooplankton
2019-08-03T19:53:29Z,2019/8,2019,8,Oithona Grp3 (pointy head) f,COPEPOD,0.6667,zooplankton
2019-08-03T19:53:29Z,2019/8,2019,8,Oncaea spp.,COPEPOD,0.6667,zooplankton
2019-08-03T19:53:29Z,2019/8,2019,8,Paracalanus aculeatus f,COPEPOD,0.6667,zooplankton
2019-08-03T19:53:29Z,2019/8,2019,8,Amphipod,NON-COPEPOD,0.6667,zooplankton
2019-08-03T19:53:29Z,2019/8,2019,8,Chaetognatha,NON-COPEPOD,4.6667,zooplankton
2019-08-03T19:53:29Z,2019/8,2019,8,Oithona plumifera f,COPEPOD,6.6667,zooplankton
2019-08-03T19:53:29Z,2019/8,2019,8,Decapod larvae,NON-COPEPOD,5.3333,zooplankton
2019-08-03T19:53:29Z,2019/8,2019,8,Oithona spp. j,COPEPOD,2.6667,zooplankton
2019-08-03T21:41:21Z,2019/8,2019,8,Mysid,NON-COPEPOD,0.6667,zooplankton
2019-08-03T21:41:21Z,2019/8,2019,8,Ostracod,NON-COPEPOD,0.6667,zooplankton
2019-08-03T21:41:21Z,2019/8,2019,8,Prosobranch,NON-COPEPOD,0.6667,zooplankton
2019-08-03T21:41:21Z,2019/8,2019,8,Protozoea decapod larvae,NON-COPEPOD,0.6667,zooplankton
2019-08-03T21:41:21Z,2019/8,2019,8,Rhabdonella spiralis,NON-COPEPOD,0.6667,zooplankton
2019-08-03T21:41:21Z,2019/8,2019,8,Salpidae,NON-COPEPOD,1.3333,zooplankton
2019-08-03T21:41:21Z,2019/8,2019,8,Siphonophore,NON-COPEPOD,0.6667,zooplankton
2019-08-03T21:41:21Z,2019/8,2019,8,Acartia negligens f,COPEPOD,0.6667,zooplankton
2019-08-03T21:41:21Z,2019/8,2019,8,Acartia negligens m,COPEPOD,0.6667,zooplankton
2019-08-03T21:41:21Z,2019/8,2019,8,Acartia spp. j,COPEPOD,1.3333,zooplankton
2019-08-03T21:41:21Z,2019/8,2019,8,Acrocalanus spp. f,COPEPOD,1.3333,zooplankton
2019-08-03T21:41:21Z,2019/8,2019,8,Calanoid j,COPEPOD,19.3333,zooplankton
2019-08-03T21:41:21Z,2019/8,2019,8,Candacia discaudata f,COPEPOD,0.6667,zooplankton
2019-08-03T21:41:21Z,2019/8,2019,8,Candacia spp. j,COPEPOD,2.6667,zooplankton
2019-08-03T21:41:21Z,2019/8,2019,8,Canthocalanus pauper f,COPEPOD,3.3333,zooplankton
2019-08-03T21:41:21Z,2019/8,2019,8,Canthocalanus pauper m,COPEPOD,2,zooplankton
2019-08-03T21:41:21Z,2019/8,2019,8,Centropages furcatus f,COPEPOD,1.3333,zooplankton
2019-08-03T21:41:21Z,2019/8,2019,8,Clausocalanus arcuicornis f,COPEPOD,4.6667,zooplankton
2019-08-03T21:41:21Z,2019/8,2019,8,Clausocalanus furcatus f,COPEPOD,2,zooplankton
2019-08-03T21:41:21Z,2019/8,2019,8,Clausocalanus pergens f,COPEPOD,0.6667,zooplankton
2019-08-03T21:41:21Z,2019/8,2019,8,Clausocalanus spp. f,COPEPOD,0.6667,zooplankton
2019-08-03T21:41:21Z,2019/8,2019,8,Copepod damaged / unidentified,COPEPOD,1.3333,zooplankton
2019-08-03T21:41:21Z,2019/8,2019,8,Corycaeidae f,COPEPOD,0.6667,zooplankton
2019-08-03T21:41:21Z,2019/8,2019,8,Corycaeidae m,COPEPOD,0.6667,zooplankton
2019-08-03T21:41:21Z,2019/8,2019,8,Cosmocalanus darwinii m,COPEPOD,0.6667,zooplankton
2019-08-03T21:41:21Z,2019/8,2019,8,Delibus nudus f,COPEPOD,0.6667,zooplankton
2019-08-03T21:41:21Z,2019/8,2019,8,Ditrichocorycaeus asiaticus m,COPEPOD,1.3333,zooplankton
