sample_date_utc,year_month,year,month,day,taxon_name,taxon_group,taxon_per_m3,plankton_type
2019-08-04T01:17:04Z,2019/8,2019,8,4,Oncaea clevei complex f,COPEPOD,0.6667,zooplankton
2019-08-04T01:17:04Z,2019/8,2019,8,4,Oithona spp. j,COPEPOD,2,zooplankton
2019-08-04T01:17:04Z,2019/8,2019,8,4,Oithona simplex f,COPEPOD,0.6667,zooplankton
2019-08-04T01:17:04Z,2019/8,2019,8,4,Oithona plumifera f,COPEPOD,14.6667,zooplankton
2019-08-04T01:17:04Z,2019/8,2019,8,4,Oithona Grp3 (pointy head) f,COPEPOD,2,zooplankton
2019-08-04T01:17:04Z,2019/8,2019,8,4,Labidocera spp. j,COPEPOD,0.6667,zooplankton
2019-08-04T01:17:04Z,2019/8,2019,8,4,Farranula spp. f,COPEPOD,0.6667,zooplankton
2019-08-04T01:17:04Z,2019/8,2019,8,4,Euchaeta spp. j,COPEPOD,1.3333,zooplankton
2019-08-04T01:17:04Z,2019/8,2019,8,4,Ditrichocorycaeus asiaticus m,COPEPOD,2,zooplankton
2019-08-04T01:17:04Z,2019/8,2019,8,4,Copepod damaged / unidentified,COPEPOD,1.3333,zooplankton
2019-08-04T01:17:04Z,2019/8,2019,8,4,Clausocalanus arcuicornis f,COPEPOD,1.3333,zooplankton
2019-08-04T01:17:04Z,2019/8,2019,8,4,Oikopleuridae,NON-COPEPOD,5.3333,zooplankton
2019-08-04T01:17:04Z,2019/8,2019,8,4,Rhabdonella spiralis,NON-COPEPOD,0.6667,zooplankton
2019-08-04T01:17:04Z,2019/8,2019,8,4,Sergestid protozoea,NON-COPEPOD,0.6667,zooplankton
2019-08-04T03:04:55Z,2019/8,2019,8,4,Rhabdonella spiralis,NON-COPEPOD,0.6667,zooplankton
2019-08-04T03:04:55Z,2019/8,2019,8,4,Clausocalanus arcuicornis f,COPEPOD,0.6667,zooplankton
2019-08-04T03:04:55Z,2019/8,2019,8,4,Corycaeidae f,COPEPOD,0.6667,zooplankton
2019-08-04T03:04:55Z,2019/8,2019,8,4,Corycaeidae j,COPEPOD,0.6667,zooplankton
2019-08-04T03:04:55Z,2019/8,2019,8,4,Corycaeidae m,COPEPOD,0.6667,zooplankton
2019-08-04T03:04:55Z,2019/8,2019,8,4,Corycaeus speciosus f,COPEPOD,0.6667,zooplankton
2019-08-04T03:04:55Z,2019/8,2019,8,4,Ditrichocorycaeus spp. f,COPEPOD,2,zooplankton
2019-08-04T03:04:55Z,2019/8,2019,8,4,Euchaeta concinna f,COPEPOD,1.3333,zooplankton
2019-08-04T03:04:55Z,2019/8,2019,8,4,Euchaeta concinna m,COPEPOD,0.6667,zooplankton
2019-08-04T03:04:55Z,2019/8,2019,8,4,Euchaeta spp. j,COPEPOD,0.6667,zooplankton
2019-08-04T03:04:55Z,2019/8,2019,8,4,Labidocera spp. j,COPEPOD,0.6667,zooplankton
2019-08-04T03:04:55Z,2019/8,2019,8,4,Nauplii calanoid,COPEPOD,2.6667,zooplankton
2019-08-04T03:04:55Z,2019/8,2019,8,4,Nauplii poecilostomatoida / cyclopoid,COPEPOD,1.3333,zooplankton
2019-08-04T03:04:55Z,2019/8,2019,8,4,Oithona Grp3 (pointy head) f,COPEPOD,4,zooplankton
2019-08-04T03:04:55Z,2019/8,2019,8,4,Oithona plumifera f,COPEPOD,28,zooplankton
2019-08-04T03:04:55Z,2019/8,2019,8,4,Oithona simplex f,COPEPOD,0.6667,zooplankton
2019-08-04T03:04:55Z,2019/8,2019,8,4,Oithona spp. j,COPEPOD,5.3333,zooplankton
2019-08-04T03:04:55Z,2019/8,2019,8,4,Oithona tenuis f,COPEPOD,0.6667,zooplankton
2019-08-04T03:04:55Z,2019/8,2019,8,4,Onychocorycaeus agilis f,COPEPOD,0.6667,zooplankton
2019-08-04T03:04:55Z,2019/8,2019,8,4,Paracalanus aculeatus f,COPEPOD,1.3333,zooplankton
2019-08-04T03:04:55Z,2019/8,2019,8,4,Subeucalanus pileatus f,COPEPOD,0.6667,zooplankton
2019-08-04T03:04:55Z,2019/8,2019,8,4,Barnacle nauplii,NON-COPEPOD,0.6667,zooplankton
2019-08-04T03:04:55Z,2019/8,2019,8,4,Bivalve,NON-COPEPOD,0.6667,zooplankton
